fpn,folder,rpath,rfolder,filename,name,ext,size,mtime,ctime,is_file,dst_fpn,action
C:\backup\GIT\COPYfireman\.vscode\.ropeproject\desktop.ini,C:\backup\GIT\COPYfireman\.vscode\.ropeproject,.vscode\.ropeproject\desktop.ini,.vscode\.ropeproject,desktop.ini,desktop,ini,136,2020-12-26 19:00:24.355968,2020-12-29 19:06:17.941721,True,C:\backup\GIT\copied\.vscode\.ropeproject\copy_desktop.ini,
C:\backup\GIT\COPYfireman\.vscode\.ropeproject\objectdb,C:\backup\GIT\COPYfireman\.vscode\.ropeproject,.vscode\.ropeproject\objectdb,.vscode\.ropeproject,objectdb,objectdb,,6,2020-12-26 17:49:43.456022,2020-12-29 19:06:17.941721,True,C:\backup\GIT\copied\.vscode\.ropeproject\copy_objectdb,
C:\backup\GIT\COPYfireman\.vscode\desktop.ini,C:\backup\GIT\COPYfireman\.vscode,.vscode\desktop.ini,.vscode,desktop.ini,desktop,ini,136,2020-12-26 19:00:13.644353,2020-12-29 19:06:17.926096,True,C:\backup\GIT\copied\.vscode\copy_desktop.ini,
C:\backup\GIT\COPYfireman\.vscode\settings.json,C:\backup\GIT\COPYfireman\.vscode,.vscode\settings.json,.vscode,settings.json,settings,json,57,2020-12-26 22:17:43.594690,2020-12-29 19:06:17.941721,True,C:\backup\GIT\copied\.vscode\copy_settings.json,
C:\backup\GIT\COPYfireman\demo.py,C:\backup\GIT\COPYfireman,demo.py,,demo.py,demo,py,2111,2020-12-29 19:04:42.381357,2020-12-29 19:06:17.722928,True,C:\backup\GIT\copied\copy_demo.py,
C:\backup\GIT\COPYfireman\fiman.py,C:\backup\GIT\COPYfireman,fiman.py,,fiman.py,fiman,py,1293,2020-12-29 10:29:31.508601,2020-12-29 19:06:17.722928,True,C:\backup\GIT\copied\copy_fiman.py,
C:\backup\GIT\COPYfireman\fireman.py,C:\backup\GIT\COPYfireman,fireman.py,,fireman.py,fireman,py,12245,2020-12-29 19:04:28.690272,2020-12-29 19:06:17.722928,True,C:\backup\GIT\copied\copy_fireman.py,
C:\backup\GIT\COPYfireman\LICENSE,C:\backup\GIT\COPYfireman,LICENSE,,LICENSE,LICENSE,,1089,2020-12-27 18:46:06.331556,2020-12-29 19:06:17.738561,True,C:\backup\GIT\copied\copy_LICENSE,
C:\backup\GIT\COPYfireman\README.md,C:\backup\GIT\COPYfireman,README.md,,README.md,README,md,105,2020-12-27 18:46:06.332564,2020-12-29 19:06:17.738561,True,C:\backup\GIT\copied\copy_README.md,
C:\backup\GIT\COPYfireman\requirements.txt,C:\backup\GIT\COPYfireman,requirements.txt,,requirements.txt,requirements,txt,14,2020-12-28 14:01:18.792659,2020-12-29 19:06:17.738561,True,C:\backup\GIT\copied\copy_requirements.txt,
C:\backup\GIT\COPYfireman\test_gui.py,C:\backup\GIT\COPYfireman,test_gui.py,,test_gui.py,test_gui,py,4477,2020-12-26 14:44:55.750877,2020-12-29 19:06:17.738561,True,C:\backup\GIT\copied\copy_test_gui.py,
C:\backup\GIT\COPYfireman\__pycache__\fireman.cpython-39.pyc,C:\backup\GIT\COPYfireman\__pycache__,__pycache__\fireman.cpython-39.pyc,__pycache__,fireman.cpython-39.pyc,fireman.cpython-39,pyc,9246,2020-12-29 19:04:42.513391,2020-12-29 19:06:17.957340,True,C:\backup\GIT\copied\__pycache__\copy_fireman.cpython-39.pyc,
